id,location,Review Text,Summary,Rating
91,Kerala," Tess Lindsay has spent most of her life on an island of the Highlands When Colin MacPherson ends up shipwrecked there, it starts to get interesting She tells him all she remembers about herself and her old life Finally she takes out a token, what she clenching when she arrived on the island, he realizes who she really is An heir to the Lindsay clan in the highlands, for she is Theresa Catherine Lindsay Her mother was a lowlander and her father was murdered When they arrive they find out that her father's murderer, is after Tess still She see's the face of him and when she visits her mother she sees him again Colin follows her there to protect her but wonders if he will ever see her again Will he? What will happen with the murderer see's Tess? Read the book to find out,"," not as good as the others, ",3
92,Kerala," In my opinion Tess and the Highlander is a romantic construction There is conflict, courage and loyalty in this novel It is tremendously readable and has unforgettable characters,"," \Romance\, ",3
93,Kerala," I am disappointed in its performance It seems underpowered and is constantly trying to read CDs, half the time unsuccessfully I am going to try to return it to Amazon,"," ADDONICS PORTABLE CD DRIVE - I am disappointed in its performance, ",1
94,Kerala," Like other reviews of LH's music before me, I must agree thathis music near the end of the 90s became more inst, and lessvocal I wish that I could find his first lp from the 80sthat contained the superior track 'A Path',"," life, ",3
95,Kerala," While I am still in the process of learning the Yoruba language, I think that this book is a nice beginners tool Please keep in mind that the new book comes with to audio CD's that are MUCH NEEDED! So if you're considering buying the book used, fine, but be sure to ask if the CD's come withWithout the audio assistance, I'm not sure how great of a tool this will be in your journey to learn the beautiful language of Yoruba!Best,S,"," A good learning tool, ",4
96,Kerala," I agree, the CDs are a much needed help, since it would be impossible to pronnounce the Yoruba tones without the help of a native speaker However, the design of the book is really poor and confusing I have found several spealling mistakes in English and Yoruba And the grammar explanations are very hard to understandUnfortunately there are not many Teach Yourself Yoruba books that are worth it This one at least provides basic vocabulary and pronounciation skills,"," Not the best, ",2
97,Kerala," I recommend this book highly I have a competitor's text also and while it is useful, I appreciate the format of Beginner's Yoruba which is interactive The companion CDs that come with this book are simply outstanding I especially enjoy the fact that the book is respectful of ALL religionsAs an update after using the CDs for a few weeks, it is true that the speaker who speaks fastest on the CD does make many mistakes I noted errors on greetings These are rather odd to say the least However, I still think this is a great source! My toddler is learning right along with me and she demands I play the CD everyday! As we repeat phrases, I simply correct the errors I really appreciate the different participants on the CD and the dialogues which are authentic and properly contextualize the vocabularyThe phrase \O'ngbiyanju\ is priceless!,"," Great Source for Yoruba, ",4
98,Kerala," This is an AWESOME game! Almost everyone know tic-tac-toe so it is EASY to learn and quick to play You can't play just once! The twist is that your pieces are slightly different sizes - just big enough to gobble up your opponent The first person to make tic-tac-toe wins, but it's not as easy as it looks when you're stuck in the mindset of just making three in a row and forget about the gobbling possibilities! My 4 and 5 year olds will beat me even when I'm trying to win! Excellent beginning critical thinking game Grandparents loved playing it with the kids too,"," Simple, Durable, Fun game for all ages, ",5
99,Pune," I bought this game to bring down to my vacation home, a new game that the kids do not have at home Every time we go to the house, the kids want to play Gobblet first! It is just like tic-tac-toe, but you can eat up your opponent's pieces with your own larger pieces It is a game of strategy My 7 year old enjoys beating her 17 year old cousins in this game, before they figure out how to do it My 5 year old can beat his cousins as well I would recommend it,"," We Love This Game!, ",5
100,Pune," After doing alot of researching and reading reviews I purchased Kelly's Pet Parade and it is fabulousMy four year old daughter has has no problems playing it without any supervision Ability to use the mouse is importantShe can keep the different activities as simple or as elaborate as she wants toWhen you want to do a new parade you have to use a different name (susie2 etc) or erase the saved paradeThe whole thing is just darling and fun to play My daughter has to do 30 minutes of a math or alphabet game before she can play Kelly's Pet Parade So, she likes it so much that using it as a reward has worked,"," Fabulous!!!, ",5
